Table
Discounting Function ML Estimates
Concave Utility, Heterogenous(?) Preferences
	m1hetero		Model 3 - Prelec2QHyp	
	Estimate	Std error	Estimate	Std error
CRRA function parameter (r)				
2.wave	-0.041	0.057	-0.042	0.058
3.wave	-0.008	0.055	-0.018	0.054
4.wave	-0.047	0.055	-0.051	0.054
5.wave	-0.034	0.055	-0.031	0.056
6.wave	0.027	0.076	0.023	0.073
age	0.000	0.002	-0.000	0.002
1.male	-0.008	0.037	-0.017	0.037
anxiety_total	0.002	0.002	0.003	0.002
depression_total	-0.002	0.002	-0.002	0.002
1.race	-0.216***	0.052	-0.193***	0.054
2.race	-0.046	0.052	-0.042	0.051
3.race	-0.163***	0.045	-0.157***	0.044
1.race#2.wave	0.164*	0.090	0.152*	0.087
1.race#3.wave	0.098	0.062	0.066	0.063
1.race#4.wave	0.196**	0.086	0.179**	0.083
1.race#5.wave	0.148**	0.075	0.128	0.080
1.race#6.wave	0.125	0.103	0.099	0.094
2.race#2.wave	0.014	0.081	0.030	0.084
2.race#3.wave	0.010	0.076	0.018	0.073
2.race#4.wave	0.012	0.065	0.024	0.064
2.race#5.wave	0.080	0.094	0.062	0.091
2.race#6.wave	-0.073	0.075	-0.060	0.071
3.race#2.wave	0.071	0.061	0.083	0.061
3.race#3.wave	0.021	0.061	0.025	0.060
3.race#4.wave	0.055	0.057	0.058	0.055
3.race#5.wave	0.032	0.057	0.024	0.057
3.race#6.wave	0.047	0.080	0.067	0.078
1.male#2.wave	-0.005	0.057	-0.005	0.057
1.male#3.wave	0.018	0.049	0.031	0.048
1.male#4.wave	0.009	0.048	0.013	0.046
1.male#5.wave	-0.015	0.049	-0.002	0.049
1.male#6.wave	0.011	0.064	-0.004	0.063
_cons	0.418***	0.063	0.439***	0.062
PWF parameter (phi)				
2.wave	0.012	0.076	0.012	0.076
3.wave	0.068	0.079	0.067	0.079
4.wave	-0.008	0.070	-0.009	0.070
5.wave	0.083	0.077	0.083	0.077
6.wave	-0.037	0.097	-0.037	0.096
age	0.001	0.003	0.001	0.003
1.male	0.087	0.061	0.085	0.061
anxiety_total	0.004	0.004	0.004	0.004
depression_total	0.004	0.003	0.004	0.003
1.race	0.367***	0.108	0.374***	0.108
